날짜,요일,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계
2016-03-22,화,0,구름 조금,"1,832","1,755",20,41,74,53,"1,506","3,338"
2016-03-23,수,0,구름 조금,"1,553","1,365",58,69,22,57,"1,234","2,787"
2016-03-24,목,0,맑음,"1,322","1,223",37,61,50,63,"1,116","2,438"
2016-03-25,금,0,구름 조금,"1,999","1,705",79,85,65,38,"1,292","3,291"
2016-03-26,토,1,맑음,"16,958","14,114",408,"2,094",192,62,"4,790","21,748"
2016-03-27,일,1,맑음,"23,610","20,041",487,"2,860",205,60,"6,879","30,489"
2016-03-28,월,0,맑음,"2,666","2,477",85,86,97,131,"1,470","4,136"
2016-03-29,화,0,구름 많음,"1,133","1,013",29,91,47,62,"1,115","2,248"
2016-03-30,수,0,구름 많음,"3,740","2,135","1,195",341,70,"1,834","1,117","4,857"
2016-03-31,목,0,구름 많음,"3,174","2,494",406,152,100,393,"1,584","4,758"
2016-04-01,금,0,맑음,"5,730","4,131","1,210",274,47,"1,158","1,807","7,537"
2016-04-02,토,1,구름 조금,"31,407","26,605",561,"3,643",169,201,"6,380","37,787"
2016-04-03,일,1,흐림,"8,038","6,498",347,959,141,785,"1,914","9,952"
2016-04-04,월,0,구름 조금,"4,515","4,219",52,188,59,105,"2,298","6,813"
2016-04-05,화,0,맑음,"4,652","4,278",75,116,79,343,"2,800","7,452"
2016-04-06,수,0,구름 조금,"5,973","4,467","1,202",252,50,"1,928","3,059","9,032"
2016-04-07,목,0,비,"2,863","2,638",117,69,72,379,"2,150","5,013"
2016-04-08,금,0,구름 조금,"7,731","5,984","1,187",232,94,"1,730","3,639","11,370"
2016-04-09,토,1,구름 많음,"25,027","20,664",825,"2,840",226,214,"7,852","32,879"
2016-04-10,일,1,구름 많음,"26,912","22,441",936,"3,192",446,176,"6,227","33,139"
2016-04-11,월,0,맑음,"7,948","5,223","2,145",424,97,"2,583","3,365","11,313"
2016-04-12,화,0,구름 많음,"7,146","4,595","2,101",289,89,"3,684","4,882","12,028"
2016-04-13,수,1,비,"20,915","17,011",708,"2,795",172,97,"5,490","26,405"
2016-04-14,목,0,구름 많음,"4,129","2,683",778,444,125,"1,814","2,950","7,079"
