날짜,요일,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계
2016-11-26,토,1,눈/비,"1,052",896,46,110,29,191,"1,273","2,325"
2016-11-27,일,1,구름 조금,"2,296","1,917",88,291,53,78,"1,519","3,815"
2016-11-28,월,0,맑음,451,382,43,26,12,0,729,"1,180"
2016-11-29,화,0,맑음,383,348,25,10,30,0,854,"1,237"
2016-11-30,수,0,흐림,302,245,48,9,17,31,676,978
2016-12-01,목,0,맑음,654,476,57,121,18,0,829,"1,483"
2016-12-02,금,0,맑음,405,368,22,15,41,0,819,"1,224"
2016-12-03,토,1,구름 조금,"3,750","3,330",88,332,58,33,"1,955","5,705"
2016-12-04,일,1,흐림,"2,748","2,376",94,278,39,0,"1,612","4,360"
2016-12-05,월,0,구름 많음,283,235,35,13,12,0,669,952
2016-12-06,화,0,맑음,249,172,64,13,26,30,748,997
2016-12-07,수,0,구름 조금,477,230,240,7,2,224,837,"1,314"
2016-12-08,목,0,흐림,269,219,39,11,18,0,821,"1,090"
2016-12-09,금,0,맑음,464,230,227,7,10,188,781,"1,245"
2016-12-10,토,1,맑음,"1,323","1,162",57,104,50,0,"1,063","2,386"
2016-12-11,일,1,맑음,"1,877","1,605",63,209,50,0,"1,345","3,222"
2016-12-12,월,0,구름 많음,384,331,28,25,40,0,659,"1,043"
2016-12-13,화,0,,349,301,40,8,30,0,963,"1,312"
2016-12-14,수,0,,251,208,15,28,13,137,679,930
2016-12-15,목,0,,123,101,18,4,13,0,575,698
2016-12-16,금,0,구름 조금,155,129,14,12,9,0,410,565
2016-12-17,토,1,구름 많음,"1,301","1,087",74,140,24,80,"1,102","2,403"
2017-03-28,화,0,구름 많음,0,0,0,0,0,0,2,2
2017-03-29,수,0,구름 조금,0,0,0,0,0,0,7,7
2017-03-30,목,0,구름 조금,"1,302","1,187",13,102,96,115,"1,067","2,369"
2017-03-31,금,0,비,727,386,328,13,41,270,572,"1,299"
2017-04-01,토,1,비,"13,317","11,155",204,"1,455",100,30,"3,753","17,070"
2017-04-02,일,1,맑음,"22,166","19,107",423,"2,636",164,0,"10,291","32,457"
2017-04-03,월,0,맑음,"1,960","1,878",18,64,27,0,"1,072","3,032"
2017-04-04,화,0,구름 조금,"2,199","2,054",68,77,97,260,"1,377","3,576"
2017-04-05,수,0,비,459,344,105,10,17,190,608,"1,067"
2017-04-06,목,0,흐림,702,587,85,30,14,138,901,"1,603"
2017-04-07,금,0,구름 조금,"4,388","3,419",821,148,111,998,"1,860","6,248"
2017-04-08,토,1,구름 조금,"28,514","24,756",638,"3,120",220,137,"12,373","40,887"
2017-04-09,일,1,구름 많음,"28,496","24,523",590,"3,383",283,0,"10,863","39,359"
2017-04-10,월,0,구름 조금,"5,293","5,106",27,160,38,105,"2,296","7,589"
2017-04-11,화,0,구름 조금,"4,001","3,867",16,118,63,558,"3,034","7,035"
2017-04-12,수,0,맑음,"4,315","4,113",36,166,112,676,"3,223","7,538"
2017-04-13,목,0,구름 많음,"4,117","3,631",197,289,54,"1,115","3,610","7,727"
2017-04-14,금,0,비,"1,811","1,079",691,41,30,945,"1,247","3,058"
2017-04-15,토,1,구름 조금,"24,079","20,770",365,"2,944",225,370,"7,668","31,747"
2017-04-16,일,1,구름 많음,"27,413","23,676",383,"3,354",347,37,"9,706","37,119"
2017-04-17,월,0,비,"1,423",270,910,243,21,"1,157",623,"2,046"
2017-04-18,화,0,비,"1,167",863,6,298,35,802,"1,697","2,864"
2017-04-19,수,0,구름 조금,"14,960","3,528","10,045","1,387",91,"13,390","2,949","17,909"
2017-04-20,목,0,흐림,"1,628","1,165",8,455,59,"1,035","1,802","3,430"
2017-04-21,금,0,구름 많음,"4,057","2,802",620,635,63,"2,355","3,208","7,265"
2017-04-22,토,1,구름 조금,"22,402","19,141",292,"2,969",241,"1,361","8,396","30,798"
2017-04-23,일,1,맑음,"25,108","21,854",269,"2,985",300,333,"15,008","40,116"
2017-04-24,월,0,구름 많음,"3,603","3,019",24,560,74,759,"2,423","6,026"
2017-04-25,화,0,흐림,"2,604","1,910",223,471,74,"1,924","3,056","5,660"
2017-04-26,수,0,맑음,"3,457","2,730",61,666,16,"2,865","3,918","7,375"
2017-04-27,목,0,구름 조금,"3,364","2,636",202,526,52,"2,709","4,277","7,641"
2017-04-28,금,0,구름 조금,"5,319","3,033","1,765",521,67,"4,238","4,214","9,533"
2017-04-29,토,1,맑음,"16,398","13,782",483,"2,133",150,625,"5,083","21,481"
2017-04-30,일,1,구름 조금,"20,115","17,158",488,"2,469",410,230,"6,481","26,596"
2017-05-01,월,0,맑음,"18,113","14,566","2,177","1,370",359,"2,012","5,023","23,136"
2017-05-02,화,0,맑음,"11,328","4,233","2,547","4,548",49,"6,650","2,610","13,938"
2017-05-03,수,1,맑음,"24,428","19,887","1,086","3,455",153,354,"6,570","30,998"
2017-05-04,목,0,구름 많음,"15,879","12,233",870,"2,776",143,54,"9,406","25,285"
2017-05-05,금,1,구름 조금,"27,046","25,824","1,222",0,616,170,"19,218","46,264"
2017-05-06,토,1,맑음,"7,559","6,183",411,965,434,102,"2,356","9,915"
2017-05-07,일,1,맑음,"5,724","4,818",318,588,269,41,"1,906","7,630"
2017-05-08,월,0,구름 많음,"2,790","1,396","1,308",86,58,"1,379","1,086","3,876"
2017-05-09,화,0,흐림,"2,687","2,216",223,248,56,0,"1,310","3,997"
2017-05-10,수,0,구름 많음,"2,247","1,556",612,79,22,"1,520","2,338","4,585"
2017-05-11,목,0,구름 많음,"2,853","1,612",829,412,42,"2,595","2,961","5,814"
2017-05-12,금,0,구름 많음,"16,618","5,050","6,205","5,363",58,"16,276","2,223","18,841"
2017-05-13,토,1,비,"5,183","4,416",163,604,49,405,"2,725","7,908"
2017-05-14,일,1,맑음,"25,187","22,675",467,"2,045",288,"6,666","6,194","31,381"
2017-05-15,월,0,구름 많음,"3,954","2,135","1,639",180,42,"2,437","2,470","6,424"
2017-05-16,화,0,구름 많음,"2,622","2,016",176,430,59,"1,868","3,612","6,234"
2017-05-17,수,0,구름 조금,"2,719","2,006",82,631,47,"1,998","3,811","6,530"
2017-05-18,목,0,맑음,"3,769","2,197","1,058",514,70,"3,607","4,693","8,462"
2017-05-19,금,0,맑음,"7,041","3,016","3,227",798,77,"6,145","5,264","12,305"
2017-05-20,토,1,구름 조금,"17,221","15,055",399,"1,767",147,908,"5,751","22,972"
2017-05-21,일,1,맑음,"18,981","16,674",363,"1,944",284,307,"5,727","24,708"
2017-05-22,월,0,구름 조금,"2,569","2,440",5,124,47,527,"2,307","4,876"
2017-05-23,화,0,흐림,"2,241","1,756",206,279,44,"1,247","3,143","5,384"
2017-05-24,수,0,구름 조금,"3,514","2,620",546,348,75,"1,522","2,824","6,338"
2017-05-25,목,0,구름 많음,"3,486","3,001",167,318,78,"1,600","4,356","7,842"
2017-05-26,금,0,맑음,"6,869","4,456","1,900",513,109,"4,286","5,818","12,687"
2017-05-27,토,1,맑음,"26,602","23,575",549,"2,478",398,"1,314","7,193","33,795"
2017-05-28,일,1,맑음,"28,606","25,346",675,"2,585",519,"4,532","10,589","39,195"
2017-05-29,월,0,맑음,"4,129","3,966",40,123,232,364,"3,138","7,267"
2017-05-30,화,0,구름 많음,"4,837","4,370",344,123,68,"1,444","3,988","8,825"
2017-05-31,수,0,흐림,"3,635","3,145",418,72,199,885,"3,201","6,836"
2017-06-01,목,0,비,"4,851","3,094",171,"1,586",92,"2,456","4,339","9,190"
2017-06-02,금,0,구름 조금,"6,839","4,519","1,968",352,140,"3,149","4,076","10,915"
2017-06-03,토,1,맑음,"23,443","20,989",533,"1,921",310,472,"9,796","33,239"
2017-06-04,일,1,맑음,"25,815","22,617",699,"2,499",469,61,"10,475","36,290"
2017-06-05,월,0,구름 조금,"14,277","11,391","1,663","1,223",161,"4,173","4,315","18,592"
2017-06-06,화,1,흐림,"15,290","12,888",582,"1,820",154,295,"7,312","22,602"
2017-06-07,수,0,흐림,978,623,344,11,28,393,893,"1,871"
2017-06-08,목,0,맑음,"20,092","2,597","17,345",150,146,"18,420","3,289","23,381"
2017-06-09,금,0,구름 많음,"13,047","9,728",963,"2,356",136,"11,161","2,465","15,512"
2017-06-10,토,1,구름 많음,"16,544","14,602",378,"1,564",296,"1,493","4,957","21,501"
2017-06-11,일,1,맑음,"17,348","15,379",331,"1,638",297,152,"6,150","23,498"
2017-06-12,월,0,구름 많음,"1,869","1,675",104,90,103,264,"1,720","3,589"
2017-06-13,화,0,비,"1,404","1,347",10,47,84,678,"2,511","3,915"
2017-06-14,수,0,맑음,"1,653","1,235",320,98,64,"1,060","2,493","4,146"
2017-06-15,목,0,맑음,"4,710","3,337",25,"1,348",83,"4,242","2,281","6,991"
2017-06-16,금,0,구름 많음,"1,414","1,254",116,44,68,676,"1,893","3,307"
2017-06-17,토,1,맑음,"7,092","6,042",183,867,149,351,"3,132","10,224"
2017-06-18,일,1,구름 조금,"6,269","5,524",111,634,218,185,"2,378","8,647"
2017-06-19,월,0,구름 조금,"1,063",961,33,69,29,96,"1,100","2,163"
2017-06-20,화,0,구름 많음,939,838,19,82,59,459,"1,591","2,530"
2017-06-21,수,0,구름 조금,918,799,37,82,54,246,"1,283","2,201"
2017-06-22,목,0,구름 조금,"11,650",898,"10,705",47,85,"10,925","1,285","12,935"
2017-06-23,금,0,구름 조금,906,836,16,54,71,275,"1,216","2,122"
2017-06-24,토,1,구름 많음,"4,215","3,640",83,492,125,63,"1,987","6,202"
2017-06-25,일,1,흐림,"4,309","3,786",63,460,145,56,"1,854","6,163"
2017-06-26,월,0,비,609,572,6,31,24,0,663,"1,272"
2017-06-27,화,0,구름 많음,939,878,10,51,51,187,"1,304","2,243"
2017-06-28,수,0,구름 많음,862,807,16,39,70,132,"1,251","2,113"
2017-06-29,목,0,구름 많음,904,846,14,44,61,235,"1,216","2,120"
2017-06-30,금,0,구름 많음,"1,002",840,26,136,72,316,"1,101","2,103"
2017-07-01,토,1,흐림,"5,728","5,112",85,531,113,60,"2,080","7,808"
2017-07-02,일,1,비,725,649,12,64,63,0,718,"1,443"
2017-07-03,월,0,비,313,289,4,20,15,0,494,807
2017-07-04,화,0,구름 많음,891,559,27,305,74,362,824,"1,715"
2017-07-05,수,0,구름 많음,600,495,62,43,59,60,749,"1,349"
2017-07-06,목,0,구름 많음,611,425,167,19,58,141,640,"1,251"
2017-07-07,금,0,비,330,275,8,47,21,30,540,870
2017-07-08,토,1,흐림,955,832,25,98,77,30,745,"1,700"
2017-07-09,일,1,비,"2,218","1,903",76,239,151,0,"1,222","3,440"
2017-07-10,월,0,비,73,69,2,2,12,0,265,338
2017-07-11,화,0,비,591,473,46,72,51,91,889,"1,480"
2017-07-12,수,0,구름 조금,859,487,315,57,44,279,738,"1,597"
2017-07-13,목,0,구름 조금,536,466,27,43,57,0,640,"1,176"
2017-07-14,금,0,구름 많음,654,486,117,51,74,218,695,"1,349"
2017-07-15,토,1,비,"1,007",857,63,87,88,72,928,"1,935"
2017-07-16,일,1,흐림,"3,254","2,857",84,313,78,0,"1,335","4,589"
2017-07-17,월,0,비,567,503,21,43,11,31,621,"1,188"
2017-07-18,화,0,구름 많음,692,586,50,56,68,74,766,"1,458"
2017-07-19,수,0,구름 많음,537,465,21,51,42,0,643,"1,180"
2017-07-20,목,0,구름 많음,395,333,30,32,81,0,536,931
2017-07-21,금,0,구름 많음,595,370,191,34,62,177,481,"1,076"
2017-07-22,토,1,흐림,"1,437","1,238",53,146,154,33,"1,064","2,501"
2017-07-23,일,1,비,357,319,12,26,20,36,339,696
2017-07-24,월,0,비,304,242,33,29,57,0,392,696
2017-07-25,화,0,흐림,602,507,49,46,54,44,716,"1,318"
2017-07-26,수,0,구름 조금,701,540,83,78,100,0,566,"1,267"
2017-07-27,목,0,구름 많음,"10,159","7,696",121,"2,342",93,"9,074",730,"10,889"
2017-07-28,금,0,비,403,332,11,60,47,0,369,772
2017-07-29,토,1,흐림,"4,360","3,756",131,473,69,111,"1,474","5,834"
2017-07-30,일,1,흐림,"4,426","3,828",185,413,286,70,"1,335","5,761"
2017-07-31,월,0,비,"1,409",996,31,382,55,0,362,"1,771"
2017-08-01,화,0,구름 많음,"2,562","2,123",118,321,177,30,"1,370","3,932"
2017-08-02,수,0,비,"1,320","1,069",92,159,57,0,656,"1,976"
2017-08-03,목,0,구름 조금,"1,301","1,053",82,166,181,0,622,"1,923"
2017-08-04,금,0,구름 조금,"1,638","1,298",126,214,52,46,526,"2,164"
2017-08-05,토,1,구름 많음,"1,879","1,602",83,194,135,30,866,"2,745"
2017-08-06,일,1,비,"1,506","1,250",87,169,105,0,844,"2,350"
2017-08-07,월,0,비,725,565,56,104,62,0,511,"1,236"
2017-08-08,화,0,구름 많음,867,659,72,136,117,0,637,"1,504"
2017-08-09,수,0,구름 많음,991,721,120,150,89,0,610,"1,601"
2017-08-10,목,0,비,481,350,61,70,53,31,462,943
2017-08-11,금,0,구름 많음,"1,234",959,74,201,41,104,669,"1,903"
2017-08-12,토,1,구름 조금,"4,749","4,082",118,549,92,39,"1,647","6,396"
2017-08-13,일,1,구름 많음,"7,791","6,680",227,884,345,45,"2,580","10,371"
2017-08-14,월,0,흐림,"1,133",827,47,259,105,44,714,"1,847"
2017-08-15,화,1,비,409,329,24,56,15,0,422,831
2017-08-16,수,0,흐림,"1,304","1,039",33,232,46,0,707,"2,011"
2017-08-17,목,0,비,"1,011",814,25,172,67,0,872,"1,883"
2017-08-18,금,0,비,"1,701","1,390",39,272,86,46,"1,072","2,773"
2017-08-19,토,1,흐림,"7,960","6,850",170,940,168,69,"2,715","10,675"
2017-08-20,일,1,비,948,811,27,110,51,0,505,"1,453"
2017-08-21,월,0,비,"3,763",540,"3,111",112,52,"3,152",629,"4,392"
2017-08-22,화,0,구름 많음,"1,434","1,196",25,213,78,0,979,"2,413"
2017-08-23,수,0,비,345,289,7,49,24,0,379,724
2017-08-24,목,0,비,162,134,6,22,23,0,410,572
2017-08-25,금,0,구름 조금,"1,351","1,169",74,108,33,30,933,"2,284"
2017-08-26,토,1,구름 조금,"11,083","9,721",179,"1,183",139,75,"3,391","14,474"
2017-08-27,일,1,흐림,"12,944","11,289",231,"1,424",194,34,"3,854","16,798"
2017-08-28,월,0,비,760,697,9,54,36,0,709,"1,469"
2017-08-29,화,0,구름 많음,"2,016","1,916",14,86,60,96,"1,420","3,436"
2017-08-30,수,0,구름 많음,"1,677","1,603",28,46,16,74,"1,183","2,860"
2017-08-31,목,0,맑음,"1,872","1,722",75,75,40,198,"1,345","3,217"
2017-09-01,금,0,구름 조금,"2,139","1,794",178,167,43,137,"1,290","3,429"
2017-09-02,토,1,맑음,"17,375","15,241",238,"1,896",127,34,"5,938","23,313"
2017-09-03,일,1,구름 조금,"17,551","15,418",260,"1,873",180,60,"6,440","23,991"
2017-09-04,월,0,구름 조금,"1,740","1,641",22,77,127,35,"1,171","2,911"
2017-09-05,화,0,흐림,"1,008",884,20,104,70,189,"1,176","2,184"
2017-09-06,수,0,흐림,877,369,490,18,14,535,926,"1,803"
2017-09-07,목,0,구름 많음,"2,517","1,946",14,557,53,640,"1,936","4,453"
2017-09-08,금,0,맑음,"2,637","1,440",930,267,13,"1,521","1,539","4,176"
2017-09-09,토,1,구름 조금,"12,034","10,366",208,"1,460",126,296,"5,269","17,303"
2017-09-10,일,1,흐림,"12,394","10,648",211,"1,535",211,46,"4,135","16,529"
2017-09-11,월,0,흐림,"10,287","7,259",158,"2,870",27,"9,598",669,"10,956"
2017-09-12,화,0,맑음,"1,932","1,429",470,33,43,876,"1,868","3,800"
2017-09-13,수,0,맑음,"1,767","1,652",68,47,20,573,"2,108","3,875"
2017-09-14,목,0,맑음,"1,529","1,420",23,86,29,322,"1,480","3,009"
2017-09-15,금,0,구름 많음,"2,972","1,923",902,147,30,"1,912","2,743","5,715"
2017-09-16,토,1,구름 많음,"16,130","13,696",308,"2,126",153,426,"4,751","20,881"
2017-09-17,일,1,구름 조금,"16,453","14,355",189,"1,909",221,36,"5,246","21,699"
2017-09-18,월,0,구름 조금,"2,329","1,999",24,306,17,420,"1,867","4,196"
2017-09-19,화,0,비,756,579,3,174,32,593,"1,557","2,313"
2017-09-20,수,0,맑음,"4,111","1,564","2,133",414,19,"2,802","2,038","6,149"
2017-09-21,목,0,맑음,"1,920","1,603",19,298,44,"1,107","2,880","4,800"
2017-09-22,금,0,구름 조금,"3,324","1,815","1,175",334,53,"3,438","3,959","7,283"
2017-09-23,토,1,구름 조금,"11,369","9,117",209,"2,043",92,"4,272","6,146","17,515"
2017-09-24,일,1,구름 조금,"10,563","8,989",215,"1,359",127,725,"3,957","14,520"
2017-09-25,월,0,구름 조금,"1,430","1,223",18,189,13,162,"1,092","2,522"
2017-09-26,화,0,구름 많음,"1,513","1,029",83,401,32,992,"2,067","3,580"
2017-09-27,수,0,,"1,315",553,172,590,14,976,"1,179","2,494"
2017-09-28,목,0,,"2,089","1,332",71,686,6,"1,196","1,942","4,031"
2017-09-29,금,0,,"4,760","1,278","1,624","1,858",57,"3,501","1,778","6,538"
2017-09-30,토,1,,"9,835","8,387",316,"1,132",64,103,"2,877","12,712"
2017-10-01,일,1,,"4,305","3,543",144,618,107,0,"2,108","6,413"
2017-10-02,월,0,,"16,443","14,218",355,"1,870",186,0,"4,944","21,387"
2017-10-03,화,1,,"12,770","10,949",360,"1,461",438,0,"3,719","16,489"
2017-10-04,수,1,,"15,332","13,288",496,"1,548","1,174",0,"3,888","19,220"
2017-10-05,목,1,,"24,914","21,322",680,"2,912",701,0,"7,662","32,576"
2017-10-06,금,1,,"15,135","12,842",389,"1,904",359,0,"5,813","20,948"
2017-10-07,토,1,,"23,018","19,513",663,"2,842",359,0,"9,073","32,091"
2017-10-08,일,1,구름 많음,"21,692","18,372",553,"2,767",218,83,"7,559","29,251"
2017-10-09,월,1,구름 조금,"15,519","13,211",479,"1,829",71,359,"5,655","21,174"
2017-10-10,화,0,흐림,"1,014",806,8,200,13,203,"1,290","2,304"
2017-10-11,수,0,구름 많음,"1,299",305,573,421,19,"1,147",808,"2,107"
2017-10-12,목,0,흐림,"1,985",734,637,614,111,"1,882","1,917","3,902"
2017-10-13,금,0,맑음,"3,044","1,401","1,243",400,40,"2,619","3,359","6,403"
2017-10-14,토,1,구름 조금,"12,728","10,745",358,"1,625",129,"1,633","4,257","16,985"
2017-10-15,일,1,구름 조금,"15,009","12,955",298,"1,756",43,213,"4,648","19,657"
2017-10-16,월,0,구름 많음,"4,806","4,199",14,593,48,"3,917","1,900","6,706"
2017-10-17,화,0,구름 조금,"10,451","2,399","6,492","1,560",47,"9,928","3,581","14,032"
2017-10-18,수,0,흐림,"2,442","1,317",353,772,47,"1,556","2,565","5,007"
2017-10-19,목,0,구름 조금,"2,871","1,959",448,464,48,"1,926","3,044","5,915"
2017-10-20,금,0,맑음,"6,030","3,082","2,531",417,46,"5,156","4,345","10,375"
2017-10-21,토,1,맑음,"16,596","14,199",335,"2,062",176,"1,792","6,062","22,658"
2017-10-22,일,1,구름 많음,"20,970","17,176",663,"3,131",129,"3,709","4,103","25,073"
2017-10-23,월,0,구름 조금,"2,373","2,042",53,278,17,954,"2,172","4,545"
2017-10-24,화,0,구름 조금,"16,818","11,388","3,413","2,017",36,"15,364","2,636","19,454"
2017-10-25,수,0,맑음,"2,360","1,745",164,451,70,898,"2,265","4,625"
2017-10-26,목,0,구름 많음,"2,587","1,624",525,438,37,"1,388","2,536","5,123"
2017-10-27,금,0,맑음,"5,139","2,734","1,901",504,76,"3,594","3,292","8,431"
2017-10-28,토,1,맑음,"19,418","16,172",658,"2,588",158,"5,114","7,461","26,879"
2017-10-29,일,1,맑음,"15,050","12,844",440,"1,766",208,285,"4,464","19,514"
2017-10-30,월,0,맑음,"1,986","1,210",592,184,43,686,"1,352","3,338"
2017-10-31,화,0,구름 조금,"4,073","1,332",117,"2,624",57,"2,724","1,695","5,768"
2017-11-01,수,0,구름 많음,"1,782","1,546",100,136,61,298,"1,581","3,363"
2017-11-02,목,0,비,"1,170","1,046",85,39,68,294,"1,499","2,669"
2017-11-03,금,0,구름 조금,"2,290","1,776",252,262,52,"1,009",866,"3,156"
2017-11-04,토,1,맑음,"8,665","7,476",226,963,91,216,"3,422","12,087"
2017-11-05,일,1,구름 많음,"10,026","8,543",220,"1,263",104,69,"2,736","12,762"
2017-11-06,월,0,구름 많음,"1,580","1,504",13,63,44,68,"1,760","3,340"
2017-11-07,화,0,구름 많음,"1,857","1,319",397,141,53,846,"1,637","3,494"
2017-11-08,수,0,맑음,"1,272","1,010",245,17,50,424,"1,381","2,653"
2017-11-09,목,0,맑음,"1,428","1,274",10,144,29,301,"1,661","3,089"
2017-11-10,금,0,비,"1,106",941,88,77,36,695,"1,247","2,353"
2017-11-11,토,1,맑음,"6,091","5,225",191,675,68,"1,026","1,917","8,008"
2017-11-12,일,1,구름 조금,"7,128","6,232",175,721,32,520,"2,184","9,312"
2017-11-13,월,0,흐림,606,561,13,32,7,35,"1,005","1,611"
2017-11-14,화,0,구름 조금,853,758,1,94,25,256,"1,150","2,003"
2017-11-15,수,0,구름 조금,485,437,32,16,27,169,919,"1,404"
2017-11-16,목,0,구름 조금,476,372,72,32,30,0,769,"1,245"
2017-11-17,금,0,비,692,271,409,12,29,471,696,"1,388"
2017-11-18,토,1,맑음,"1,637","1,374",85,178,57,352,"1,122","2,759"
2017-11-19,일,1,맑음,"1,082",950,51,81,59,30,836,"1,918"
2017-11-20,월,0,구름 많음,260,232,20,8,26,0,597,857
2017-11-21,화,0,맑음,709,238,407,64,14,430,872,"1,581"
2017-11-22,수,0,맑음,455,315,42,98,30,165,586,"1,041"
2017-11-23,목,0,흐림,"1,315",806,31,478,24,"1,101",612,"1,927"
2017-11-24,금,0,구름 많음,203,175,21,7,13,0,544,747
2017-11-25,토,1,비,468,428,9,31,12,157,916,"1,384"
2017-11-26,일,1,구름 조금,"1,600","1,368",56,176,56,0,887,"2,487"
2017-11-27,월,0,,342,313,12,17,2,46,730,"1,072"
2017-11-28,화,0,,302,267,14,21,48,0,837,"1,139"
2017-11-29,수,0,,191,163,18,10,18,0,604,795
2017-11-30,목,0,맑음,"10,638",158,"10,472",8,20,42,680,"11,318"
2017-12-01,금,0,구름 많음,213,170,33,10,21,0,505,718
2017-12-02,토,1,구름 많음,"1,133","1,010",45,78,18,0,"1,035","2,168"
2017-12-03,일,1,흐림,"1,120",986,33,101,21,0,871,"1,991"
2017-12-04,월,0,구름 조금,161,136,17,8,11,0,558,719
2017-12-05,화,0,흐림,169,164,1,4,5,71,461,630
2017-12-06,수,0,흐림,109,97,10,2,15,0,612,721
2017-12-07,목,0,구름 조금,199,144,50,5,13,33,712,911
2017-12-08,금,0,맑음,149,128,17,4,15,0,494,643
2017-12-09,토,1,구름 많음,776,678,30,68,20,32,"1,016","1,792"
2017-12-10,일,1,비,419,356,24,39,12,0,605,"1,024"
2017-12-11,월,0,,71,56,2,13,12,0,408,479
2017-12-12,화,0,맑음,85,45,37,3,4,33,239,324
2017-12-13,수,0,맑음,86,75,11,0,20,0,376,462
2017-12-14,목,0,구름 많음,319,59,15,245,9,241,442,761
2017-12-15,금,0,흐림,145,99,35,11,12,0,482,627
2017-12-16,토,1,구름 조금,371,306,20,45,11,0,835,"1,206"
2017-12-17,일,1,구름 조금,442,379,20,43,28,38,554,996
2017-12-18,월,0,구름 많음,103,89,13,1,2,0,317,420
2017-12-19,화,0,맑음,165,61,102,2,22,90,492,657
2017-12-20,수,1,눈,"2,509",202,"2,035",272,1,"2,454",476,"2,985"
2017-12-21,목,0,맑음,132,103,18,11,12,0,521,653
2017-12-22,금,0,구름 많음,209,186,11,12,3,1,595,804
2017-12-23,토,1,흐림,912,771,66,75,41,43,998,"1,910"
2017-12-24,일,1,눈/비,144,114,14,16,7,0,259,403
2017-12-25,월,1,맑음,"1,502","1,195",188,119,29,3,526,"2,028"
2017-12-26,화,0,맑음,200,178,7,15,24,0,572,772
2017-12-27,수,0,맑음,129,112,10,7,9,0,359,488
2017-12-28,목,0,흐림,197,174,6,17,15,0,581,778
2017-12-29,금,0,구름 많음,345,273,30,42,39,0,508,853
2017-12-30,토,1,눈,709,574,46,89,38,0,811,"1,520"
2017-12-31,일,1,맑음,"1,274","1,069",57,148,50,0,594,"1,868"
2018-01-01,월,1,맑음,"1,688","1,380",99,209,40,0,628,"2,316"
2018-01-02,화,0,구름 조금,403,344,15,44,22,119,585,988
2018-01-03,수,0,구름 조금,192,153,22,17,4,0,502,694
2018-01-04,목,0,흐림,165,134,9,22,14,1,506,671
2018-01-05,금,0,구름 조금,189,146,12,31,8,0,569,758
2018-01-06,토,1,맑음,968,836,32,100,25,0,967,"1,935"
2018-01-07,일,1,흐림,922,749,61,112,20,0,959,"1,881"
2018-01-08,월,0,흐림,193,150,13,30,13,0,441,634
2018-01-09,화,0,구름 많음,115,94,6,15,13,0,408,523
2018-01-10,수,0,구름 조금,70,56,7,7,6,0,312,382
2018-01-11,목,0,맑음,43,34,8,1,0,0,269,312
2018-01-12,금,0,맑음,52,45,5,2,15,0,176,228
2018-01-13,토,1,맑음,350,297,18,35,3,0,665,"1,015"
2018-01-14,일,1,구름 많음,839,713,32,94,2,0,815,"1,654"
2018-01-15,월,0,구름 조금,225,172,31,22,14,0,420,645
2018-01-16,화,0,비,150,115,15,20,8,0,549,699
2018-01-17,수,0,구름 조금,196,156,23,17,15,0,435,631
2018-01-18,목,0,구름 많음,989,311,440,238,1,776,514,"1,503"
2018-01-19,금,0,맑음,334,257,28,49,17,0,584,918
2018-01-20,토,1,구름 조금,"1,138",941,72,125,3,30,945,"2,083"
2018-01-21,일,1,구름 많음,"1,234","1,015",61,158,18,0,889,"2,123"
2018-01-22,월,0,눈,311,210,34,67,6,0,541,852
2018-01-23,화,0,맑음,67,48,9,10,7,0,296,363
2018-01-24,수,0,맑음,18,16,1,1,0,0,110,128
2018-01-25,목,0,맑음,23,23,0,0,1,0,139,162
2018-01-26,금,0,맑음,50,31,13,6,0,0,172,222
2018-01-27,토,1,구름 조금,247,202,30,15,11,0,408,655
2018-01-28,일,1,구름 조금,457,371,31,55,15,0,505,962
2018-01-29,월,0,맑음,87,74,7,6,6,0,322,409
2018-01-30,화,0,구름 많음,"9,203",92,"9,100",11,2,"9,097",457,"9,660"
2018-01-31,수,0,구름 많음,151,131,11,9,12,0,434,585
2018-02-01,목,0,맑음,194,157,19,18,5,0,485,679
2018-02-02,금,0,구름 많음,152,127,14,11,11,0,552,704
2018-02-03,토,1,구름 조금,415,340,27,48,10,0,634,"1,049"
2018-02-04,일,1,맑음,281,238,15,28,1,1,509,790
2018-02-05,월,0,맑음,66,59,5,2,14,0,282,348
2018-02-06,화,0,구름 조금,60,55,2,3,13,0,309,369
2018-02-07,수,0,구름 많음,78,58,14,6,4,0,340,418
2018-02-08,목,0,맑음,177,131,25,21,2,1,547,724
2018-02-09,금,0,,172,141,18,13,3,0,485,657
2018-02-10,토,1,,907,756,40,111,17,0,954,"1,861"
2018-02-11,일,1,눈,544,446,29,69,6,4,615,"1,159"
2018-02-12,월,0,구름 많음,120,84,20,16,18,0,379,499
2018-02-13,화,0,맑음,195,166,19,10,19,0,530,725
2018-02-14,수,0,,354,279,43,32,19,0,456,810
2018-02-15,목,1,구름 조금,"1,193","1,023",37,133,64,0,572,"1,765"
2018-02-16,금,1,맑음,"2,331","2,013",71,247,246,0,676,"3,007"
2018-02-17,토,1,맑음,"2,617","2,229",101,287,71,0,973,"3,590"
2018-02-18,일,1,구름 많음,"2,111","1,822",70,219,88,0,"1,259","3,370"
2018-02-19,월,0,구름 많음,767,620,51,96,29,0,791,"1,558"
2018-02-20,화,0,구름 조금,561,420,60,81,6,0,682,"1,243"
