순위,영화명,관객수
170,박수건달,"3,897,969"
171,베놈,"3,888,096"
172,조선명탐정 : 사라진 놉의 딸,"3,872,015"
173,역린,"3,849,700"
174,남한산성,"3,849,129"
175,반도,"3,812,954"
176,너의 이름은.,"3,796,554"
177,암수살인,"3,789,553"
178,데드풀 2,"3,784,602"
179,라라랜드,"3,767,082"
180,국가부도의 날,"3,755,469"
181,쌍화점,"3,749,034"
182,신기전,"3,728,439"
183,해리 포터와 불사조 기사단,"3,702,538"
184,미이라,"3,689,325"
185,82년생 김지영,"3,679,162"
186,분노의 질주: 더 익스트림,"3,659,683"
187,분노의 질주: 홉스&쇼,"3,657,627"
188,모가디슈,"3,619,202"
189,인턴,"3,611,166"
190,귀향,"3,587,256"
191,리얼 스틸,"3,579,666"
192,신의 한 수,"3,566,852"
193,코코,"3,513,114"
194,해리 포터와 불의 잔,"3,499,257"
195,비긴 어게인,"3,474,630"
196,태풍,"3,471,150"
197,킹콩,"3,470,059"
198,부러진 화살,"3,460,212"
199,끝까지 간다,"3,450,388"
200,어바웃 타임,"3,449,461"
합계,,"1,271,951,524"
