Country ID,Country,"Time Series - CO₂ total emissions  without LULUCF, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO2 emissions, latest year",% change since 1990,"CO2 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
76,Brazil,"2,13,555.00","2,24,675.00","2,26,821.00","2,35,656.00","2,45,012.00","2,63,283.00","2,82,440.00","2,99,443.00","3,10,259.00","3,20,522.00","3,31,466.00","3,38,212.00","3,37,959.00","3,33,001.00","3,49,853.00","3,56,897.00","3,61,457.00","3,80,822.00","4,02,090.00","3,81,380.00","4,29,844.00","4,50,956.00","4,82,697.00","5,11,858.00","5,32,094.00","5,04,747.00",...,...,...,2015,504747.00,136.35,2.47
96,Brunei Darussalam,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,882.59",...,...,...,...,...,...,...,...,2010,5882.59,...,15.14
100,Bulgaria,"76,698.98","61,232.60","57,010.43","57,675.64","56,083.53","57,716.37","58,108.02","55,861.27","53,275.22","46,369.98","45,305.03","49,014.14","46,258.57","50,509.67","49,570.73","50,656.43","51,895.22","55,740.84","54,079.56","45,773.77","47,862.93","53,178.04","48,349.01","42,649.51","45,169.33","48,194.28","45,353.72","47,505.16","43,551.60",2018,43551.60,-43.22,6.18
854,Burkina Faso,...,...,...,...,902.00,...,...,...,...,...,...,...,...,...,...,...,...,"1,604.34",...,...,...,...,...,...,...,...,...,...,...,2007,1604.34,...,0.11
108,Burundi,...,...,...,...,...,...,...,...,143.18,...,...,...,...,...,...,140.69,...,...,...,...,172.97,...,...,...,...,158.62,...,...,...,2015,158.62,...,0.02
132,Cabo Verde,...,...,...,...,...,217.73,...,...,...,...,284.95,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,284.95,...,0.67
116,Cambodia,...,...,...,...,"1,321.93",...,...,...,...,...,"2,052.58",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,2052.58,...,0.17
120,Cameroon,...,...,...,...,"2,769.52",...,...,...,...,...,"2,991.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,2991.00,...,0.19
124,Canada,"4,62,117.35","4,52,494.72","4,67,037.42","4,67,406.41","4,82,436.58","4,94,920.25","5,10,736.66","5,24,789.17","5,33,639.79","5,49,553.21","5,72,162.10","5,64,946.40","5,70,844.78","5,87,178.15","5,85,703.10","5,76,434.46","5,70,950.38","5,94,220.57","5,75,586.91","5,42,549.60","5,55,549.85","5,66,740.99","5,69,737.01","5,76,327.01","5,75,942.18","5,75,906.94","5,64,032.53","5,72,834.39","5,86,504.63",2018,586504.63,26.92,15.82
140,Central African Republic,...,...,...,...,212.00,...,...,...,...,...,...,...,...,180.46,193.34,207.36,214.71,232.21,235.91,232.95,252.59,...,...,...,...,...,...,...,...,2010,252.59,...,0.06
148,Chad,...,...,...,309.65,...,...,...,...,334.60,358.58,304.99,368.59,452.77,"4,054.60",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,4054.60,...,0.43
152,Chile,"33,289.70",...,...,"34,963.90","38,485.80",...,...,...,...,...,"54,750.50",...,...,...,...,...,"60,056.66",...,...,...,"69,667.00",...,...,"80,498.40",...,...,"87,444.00",...,...,2016,87444.00,162.68,4.80
156,China,...,...,...,...,"30,73,470.00",...,...,...,...,...,...,...,...,...,...,"63,81,000.00",...,...,...,...,"87,07,376.00",...,"98,93,257.00",...,"1,02,74,851.00",...,...,...,...,2014,10274851.00,...,7.34
170,Colombia,"49,706.50",...,...,...,"60,917.30",...,...,...,...,...,"63,813.83",...,...,...,"63,907.28",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,63907.28,28.57,1.52
174,Comoros,...,...,...,...,70.52,...,...,...,...,...,82.42,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,82.42,...,0.15
178,Congo,...,...,...,...,673.70,...,...,...,...,...,"1,292.15",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1292.15,...,0.41
184,Cook Islands,...,...,...,...,32.56,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,32.56,...,1.71
188,Costa Rica,"2,749.30",...,...,...,...,...,"4,554.70",...,...,...,"5,104.67",...,...,...,...,"5,989.10",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,5989.10,117.84,1.40
384,Côte d’Ivoire,...,...,...,...,"4,345.77",...,...,...,...,...,"60,372.31",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,60372.31,...,3.67
191,Croatia,"23,329.25","17,182.30","16,506.08","16,959.78","16,214.22","16,926.34","17,515.27","18,575.88","19,278.90","20,115.46","19,694.45","20,806.74","21,912.74","23,268.21","22,916.83","23,330.10","23,529.45","24,843.81","23,628.58","21,837.80","21,050.86","20,682.44","19,114.78","18,454.62","17,704.99","17,840.75","18,105.04","18,737.69","17,718.65",2018,17718.65,-24.05,4.26
192,Cuba,"33,899.58",...,"21,598.81",...,"22,193.47",...,"26,382.13",...,"27,973.77",...,"26,586.22",...,"24,892.95",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,24892.95,-26.57,2.22
196,Cyprus,"4,656.89","5,146.61","5,522.91","5,766.97","6,011.11","5,882.27","6,233.23","6,321.03","6,614.65","6,882.47","7,145.88","7,021.41","7,210.78","7,605.55","7,840.94","8,031.30","8,223.17","8,538.92","8,707.25","8,453.80","8,089.01","7,759.47","7,234.89","6,554.36","6,934.59","6,960.13","7,368.23","7,515.69","7,332.76",2018,7332.76,57.46,6.17
203,Czechia,"1,64,204.21","1,48,894.13","1,44,619.02","1,38,637.29","1,32,376.14","1,31,608.26","1,34,962.55","1,30,733.07","1,25,317.67","1,16,623.43","1,27,066.45","1,26,957.56","1,23,895.62","1,27,382.80","1,28,113.81","1,25,671.94","1,26,449.45","1,28,264.33","1,22,941.37","1,15,193.74","1,17,500.71","1,15,060.26","1,10,955.16","1,06,427.46","1,04,049.88","1,04,815.38","1,06,629.02","1,05,641.73","1,04,411.21",2018,104411.21,-36.41,9.79
408,Democratic People's Republic of Korea,"1,78,713.00",...,...,...,"1,33,349.00",...,...,...,...,...,"68,740.00",...,"73,779.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,73779.00,-58.72,3.16
180,Democratic Republic of the Congo,...,...,...,...,"1,447.71",...,...,...,...,"2,488.00","2,644.20","2,793.00","2,651.00","2,645.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,2645.00,...,0.05
208,Denmark,"54,845.67","65,428.35","59,595.59","61,682.60","65,699.57","62,655.77","75,987.01","66,603.08","62,395.89","59,842.62","55,609.69","57,322.68","56,895.54","62,055.93","56,499.81","52,932.00","60,858.69","56,102.04","52,640.37","50,184.69","50,678.31","45,652.28","41,218.24","43,079.33","38,866.73","36,493.99","38,301.02","36,213.25","36,246.20",2018,36246.20,-33.91,6.30
262,Djibouti,...,...,...,...,274.15,...,...,...,...,...,342.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,342.02,...,0.48
212,Dominica,...,...,...,...,76.53,...,...,...,...,...,105.80,117.92,113.27,111.08,110.89,119.06,122.00,128.46,122.45,133.78,141.55,149.81,158.90,161.03,167.24,170.15,169.84,156.85,...,2017,156.85,...,2.19
214,Dominican Republic,"8,762.93",...,...,...,"15,003.05",...,...,...,"16,423.85",...,"18,416.75",...,...,...,...,...,...,...,...,...,"12,572.41",...,...,...,...,...,...,...,...,2010,12572.41,43.47,1.30
218,Ecuador,"14,252.93",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"37,473.91",...,"41,084.46",...,...,...,...,...,...,2012,41084.46,188.25,2.66
818,Egypt,"84,235.00",...,...,...,...,...,...,...,...,...,"1,28,227.95",...,...,...,...,"1,69,249.70",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,169249.70,100.93,2.24
222,El Salvador,...,...,...,...,"4,514.65",...,...,...,...,...,...,...,...,...,...,"6,062.27",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,6062.27,...,1.00
232,Eritrea,...,...,...,...,719.79,752.02,827.84,732.25,576.10,615.25,621.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,621.00,...,0.27
233,Estonia,"36,907.24","33,901.77","24,370.46","18,910.36","19,734.05","18,048.83","18,759.52","18,317.28","16,817.25","15,653.35","15,244.19","15,576.73","15,090.49","16,937.23","17,201.01","16,921.62","16,208.81","19,838.56","17,668.12","14,339.01","18,784.96","18,855.12","17,684.98","19,551.95","18,755.95","15,813.40","17,377.65","18,635.87","17,710.95",2018,17710.95,-52.01,13.39
748,Eswatini,...,...,...,...,873.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,873.87,...,0.96
