Country ID,Country,"Time Series - CO₂ total emissions  without LULUCF, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO2 emissions, latest year",% change since 1990,"CO2 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
418,Lao People's Democratic Republic,414.91,...,...,...,...,...,...,...,...,...,"1,052.19",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1052.19,153.59,0.20
428,Latvia,"19,504.13","17,783.12","14,079.83","11,818.64","10,296.75","9,090.31","9,170.27","8,645.95","8,280.69","7,695.97","7,064.72","7,474.39","7,502.61","7,722.59","7,727.76","7,806.68","8,305.73","8,631.99","8,192.82","7,451.92","8,548.88","7,805.40","7,515.21","7,381.99","7,182.63","7,272.71","7,220.75","7,222.78","7,859.29",2018,7859.29,-59.70,4.08
422,Lebanon,...,...,...,...,"13,602.76",...,...,...,...,...,"15,570.13",...,...,...,...,...,...,...,...,...,...,"20,656.42","22,294.28","23,096.54",...,...,...,...,...,2013,23096.54,...,3.91
426,Lesotho,...,...,...,...,635.98,...,...,...,...,...,805.03,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,805.03,...,0.40
430,Liberia,...,...,...,...,...,...,...,...,...,...,"3,571.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3571.00,...,1.25
438,Liechtenstein,198.97,206.33,206.95,215.03,201.11,204.20,205.96,218.37,229.23,226.56,216.85,214.66,220.01,229.35,229.38,228.97,231.10,200.77,219.51,205.35,190.81,176.78,185.31,192.54,161.24,159.71,149.88,156.28,143.75,2018,143.75,-27.75,3.79
440,Lithuania,"35,771.82","37,851.59","21,200.58","16,348.05","15,788.27","15,084.48","15,757.63","15,182.21","16,039.70","13,476.96","11,873.92","12,621.37","12,690.01","12,679.87","13,272.34","14,091.08","14,408.01","15,797.79","15,179.16","13,022.77","13,926.74","14,271.08","14,330.83","13,340.27","13,087.47","13,297.14","13,327.51","13,545.85","13,669.49",2018,13669.49,-61.79,4.88
442,Luxembourg,"11,847.64","12,465.79","12,232.16","12,372.81","11,563.93","9,170.30","9,219.91","8,573.11","7,695.07","8,147.98","8,731.57","9,226.37","10,003.05","10,476.02","11,844.31","12,105.45","11,936.28","11,333.58","11,195.25","10,647.82","11,219.29","11,114.55","10,851.40","10,303.87","9,825.22","9,333.17","9,080.25","9,250.40","9,568.52",2018,9568.52,-19.24,15.84
450,Madagascar,...,...,...,...,"1,146.17",...,...,...,...,...,"1,747.40",...,...,...,...,"1,919.10","1,999.30","2,098.70","2,250.30","2,076.40","2,057.90",...,...,...,...,...,...,...,...,2010,2057.90,...,0.10
454,Malawi,669.25,...,...,...,719.26,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,719.26,7.47,0.07
458,Malaysia,"52,140.59","62,312.48","67,718.14","73,579.68","82,935.43","83,210.92","97,941.99","1,13,400.44","1,03,147.98","1,13,773.33","1,36,987.07","1,46,115.82","1,52,580.96","1,65,746.22","1,79,143.38","1,92,573.72","1,92,109.54","2,05,552.49","2,09,530.04","2,01,065.19","2,17,972.69","2,05,768.03",...,...,...,...,...,...,...,2011,205768.03,294.64,7.18
462,Maldives,...,...,...,...,129.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,236.97","1,305.99","1,400.01","1,453.55","1,476.89",...,...,...,2015,1476.89,...,3.25
466,Mali,...,...,...,...,...,954.61,...,...,...,...,"1,562.89",...,...,...,...,...,...,...,...,...,"2,743.67",...,...,...,...,...,...,...,...,2010,2743.67,...,0.18
470,Malta,"2,408.46","2,255.39","2,314.90","2,891.13","2,669.72","2,460.27","2,578.45","2,586.19","2,545.13","2,627.59","2,545.52","2,665.17","2,707.48","2,979.28","2,846.41","2,654.26","2,665.94","2,735.72","2,747.13","2,532.57","2,581.76","2,578.07","2,762.07","2,437.84","2,442.40","1,735.30","1,399.49","1,553.00","1,531.58",2018,1531.58,-36.41,3.49
584,Marshall Islands,...,...,...,...,...,...,...,...,...,...,80.92,...,...,...,...,97.66,...,...,...,...,124.94,...,...,...,...,...,...,...,...,2010,124.94,...,2.22
478,Mauritania,...,...,...,...,...,"1,046.67",...,...,...,...,"1,137.07",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1137.07,...,0.43
480,Mauritius,...,...,...,...,...,"2,739.80",...,...,...,...,"2,289.81","2,476.96","2,494.53","2,661.33","2,659.52","2,820.25","3,482.62",...,...,...,...,...,...,"4,250.19",...,...,...,...,...,2013,4250.19,...,3.39
484,Mexico,"3,07,419.22","3,18,877.87","3,21,246.52","3,21,858.04","3,46,246.67","3,33,784.06","3,48,140.71","3,65,145.08","3,86,249.84","3,77,722.10","4,07,271.27","4,00,547.89","3,95,768.56","4,03,331.35","4,32,780.07","4,38,673.96","4,54,055.33","4,73,765.52","4,94,159.95","4,75,352.59","4,89,865.36","5,02,147.36","5,04,782.35","4,68,240.10",...,...,...,...,...,2013,468240.10,52.31,3.94
583,Micronesia (Federated States of),...,...,...,...,235.97,...,...,...,...,...,151.99,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,151.99,...,1.42
492,Monaco,98.23,98.91,104.51,103.60,104.41,101.20,104.71,103.19,102.07,102.77,100.31,100.01,99.74,97.05,91.88,90.31,84.01,82.77,82.35,79.16,77.69,75.01,78.05,78.81,73.89,74.36,74.66,73.05,74.76,2018,74.76,-23.90,1.93
496,Mongolia,"13,650.00","12,141.00","10,529.00","9,913.20","8,665.00","8,141.00","8,978.70","9,310.80","9,061.10",...,...,...,...,...,...,...,"9,956.25",...,...,...,...,...,...,...,...,...,...,...,...,2006,9956.25,-27.06,3.89
499,Montenegro,"2,491.41","2,585.54","2,143.69","1,691.10","1,328.80",504.31,"2,028.90","1,920.68","2,335.61","2,397.97","2,520.74","2,140.19","2,616.95","2,508.47","2,510.68","2,347.24","2,542.47","2,483.42","3,019.80","2,057.47","2,836.85","2,685.70",...,...,...,...,...,...,...,2011,2685.70,7.80,4.30
504,Morocco,...,...,...,...,"28,364.00",...,...,...,...,...,"33,550.80",...,...,...,...,...,...,...,...,...,"55,823.90",...,"62,103.40",...,...,...,...,...,...,2012,62103.40,...,1.87
508,Mozambique,"1,083.12",...,...,...,"1,585.59",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,1585.59,46.39,0.11
104,Myanmar,...,...,...,...,...,...,...,...,...,...,"7,907.24","7,516.74","7,789.82","8,406.63","8,935.41","8,264.59",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,8264.59,...,0.17
516,Namibia,...,...,...,...,"1,826.63",...,...,...,...,...,"2,018.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,2018.00,...,1.12
520,Nauru,...,...,...,...,28.32,...,...,...,...,...,13.29,...,...,35.08,...,...,...,17.24,...,...,37.58,...,...,...,...,...,...,...,...,2010,37.58,...,3.76
524,Nepal,...,...,...,...,"1,630.00",...,...,...,...,...,"2,894.24",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,2894.24,...,0.12
528,Netherlands,"1,62,385.11","1,70,796.38","1,70,630.24","1,70,817.55","1,71,401.37","1,72,966.17","1,82,148.29","1,75,019.63","1,76,136.87","1,70,727.35","1,71,887.44","1,76,798.51","1,76,113.05","1,79,565.00","1,81,381.77","1,77,459.01","1,72,686.52","1,72,587.18","1,75,481.51","1,70,167.74","1,82,117.94","1,69,065.73","1,65,827.03","1,65,717.88","1,58,768.01","1,66,366.66","1,66,282.09","1,64,444.77","1,60,170.15",2018,160170.15,-1.36,9.39
554,New Zealand,"25,446.29","26,110.38","28,105.07","27,699.46","27,880.33","28,001.81","29,295.08","31,289.34","29,882.78","31,472.27","32,281.35","34,457.44","34,638.10","36,351.90","35,940.11","37,571.04","37,466.33","36,559.88","37,592.32","34,762.43","34,957.78","34,249.57","36,000.43","35,240.94","35,457.80","35,839.19","34,267.62","36,153.33","35,080.34",2018,35080.34,37.86,7.40
558,Nicaragua,...,...,...,...,"2,728.38",...,...,...,...,...,"3,840.19",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3840.19,...,0.76
562,Niger,598.47,...,...,...,...,...,...,...,...,...,"1,905.00",...,...,...,...,...,...,...,"1,800.00",...,...,...,...,...,...,...,...,...,...,2008,1800.00,200.77,0.12
566,Nigeria,...,...,...,...,"1,14,815.82",...,...,...,...,...,"1,16,825.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,116825.00,...,0.96
570,Niue,...,...,...,...,4.40,...,...,...,...,...,4.82,...,...,...,...,5.54,6.70,8.10,4.84,5.05,...,...,...,...,...,...,...,...,...,2009,5.05,...,3.12
807,North Macedonia,"10,287.59","9,576.21","8,935.91","9,359.09","9,041.89","9,207.93","8,891.52","9,632.40","10,338.45","9,964.61","9,571.65","9,667.51","10,027.43","9,368.53","9,114.57","9,908.92","8,977.05","9,495.79","9,565.18","8,929.47",...,...,...,...,...,...,...,...,...,2009,8929.47,-13.20,4.32
578,Norway,"35,321.33","33,816.46","34,734.75","36,224.20","38,088.99","38,707.50","41,830.31","41,969.98","42,220.23","42,974.02","42,518.55","43,866.41","42,985.66","44,305.68","44,622.58","43,923.16","44,484.78","46,231.29","45,377.70","43,890.03","46,231.65","45,513.36","45,038.31","44,982.40","44,916.61","45,350.50","44,472.73","43,562.54","43,817.66",2018,43817.66,24.05,8.21
512,Oman,...,...,...,...,"11,184.36",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,11184.36,...,5.21
585,Palau,...,...,...,...,85.59,...,...,...,...,0.01,149.99,...,...,...,...,331.84,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,331.84,...,16.77
591,Panama,...,...,...,...,"4,314.91",...,...,...,...,...,"5,171.99",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,5171.99,...,1.71
598,Papua New Guinea,...,...,...,...,"1,140.57",...,...,...,...,...,"4,400.45",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,4400.45,...,0.75
600,Paraguay,"2,270.22",...,...,...,"3,810.57",...,...,...,...,...,"3,646.85",...,...,...,...,"4,148.82",...,...,...,...,...,"5,380.22","5,664.54",...,...,...,...,...,...,2012,5664.54,149.52,0.88
604,Peru,...,...,...,...,"30,656.73",...,...,...,...,...,"32,065.00",...,...,...,...,...,...,...,...,...,"44,943.83",...,"48,210.00",...,...,...,...,...,...,2012,48210.00,...,1.63
608,Philippines,...,...,...,...,"57,932.00",...,...,...,...,...,"82,702.84",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,82702.84,...,1.06
616,Poland,"3,76,546.52","3,73,793.32","3,64,677.87","3,65,370.70","3,60,416.81","3,62,761.27","3,77,407.84","3,67,385.32","3,39,132.89","3,29,167.33","3,17,338.03","3,13,647.66","3,06,403.33","3,19,406.05","3,24,146.21","3,23,161.27","3,37,037.51","3,36,368.50","3,30,145.00","3,16,607.70","3,34,606.78","3,33,952.03","3,26,348.21","3,22,225.44","3,09,920.92","3,13,099.15","3,24,011.34","3,37,340.42","3,37,705.74",2018,337705.74,-10.32,8.91
620,Portugal,"45,082.97","46,960.26","50,889.17","49,391.90","50,246.45","54,450.77","51,703.22","54,597.59","59,138.43","66,763.19","65,526.59","65,149.30","69,556.08","64,419.31","67,255.33","69,483.98","64,767.65","62,280.42","59,973.06","57,200.26","52,989.38","51,792.65","49,962.62","48,161.88","47,948.44","52,294.06","50,455.57","54,719.98","51,482.48",2018,51482.48,14.19,5.02
634,Qatar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"57,611.96",...,...,...,...,...,...,...,...,...,...,...,2007,57611.96,...,47.28
410,Republic of Korea,"2,52,328.67","2,75,230.29","2,99,001.71","3,34,403.67","3,56,378.12","3,85,188.31","4,17,749.86","4,43,604.94","3,77,357.37","4,09,614.21","4,41,633.44","4,56,996.88","4,75,805.24","4,84,163.27","4,90,197.51","4,94,464.19","5,01,107.18","5,22,787.61","5,36,424.71","5,41,396.88","5,94,697.22","6,24,256.53","6,27,219.62","6,36,397.56","6,29,715.21","6,34,487.23","6,37,599.56",...,...,2016,637599.56,152.69,12.51
498,Republic of Moldova,"35,333.69","31,049.99","21,804.86","16,569.55","14,997.96","11,552.74","11,655.59","10,688.54","9,063.02","7,154.44","6,388.39","6,991.99","6,667.91","7,439.19","7,912.17","8,310.32","7,651.92","8,028.34","8,727.81","9,030.40","9,552.30","9,687.15","9,354.19","8,325.47",...,...,...,...,...,2013,8325.47,-76.44,2.04
642,Romania,"1,69,285.87","1,39,370.25","1,31,072.28","1,22,832.31","1,21,961.46","1,27,032.86","1,30,095.93","1,21,074.67","1,07,561.54","90,778.18","95,455.76","1,00,357.07","1,01,735.33","1,05,295.17","1,04,269.76","1,02,694.47","1,05,082.79","1,08,440.49","1,05,534.58","86,024.14","84,289.72","89,518.25","86,255.69","76,875.89","77,432.42","77,725.63","75,812.80","78,077.49","76,951.22",2018,76951.22,-54.54,3.94
643,Russian Federation,"25,25,293.78","23,95,977.96","19,57,658.89","18,59,459.63","16,41,399.16","16,12,928.32","15,80,160.84","14,75,157.17","14,58,157.13","14,86,090.03","14,71,052.23","15,07,500.88","14,95,483.58","15,25,389.95","15,30,473.62","15,47,375.78","16,06,313.36","16,04,323.81","16,36,694.37","15,28,764.92","16,12,884.81","16,64,953.15","16,79,866.20","16,19,172.89","16,22,348.91","16,22,861.01","16,18,304.26","16,46,179.81","16,91,360.43",2018,1691360.43,-33.02,11.61
646,Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,312.47,...,...,532.00,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,532.00,...,0.06
659,Saint Kitts and Nevis,...,...,...,...,70.83,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,70.83,...,1.70
662,Saint Lucia,...,...,...,...,268.24,...,...,...,...,...,340.19,...,...,...,...,395.28,...,...,...,...,489.43,...,...,...,...,...,...,...,...,2010,489.43,...,2.81
670,Saint Vincent and the Grenadines,81.51,...,...,...,95.07,...,...,106.83,...,...,155.15,...,...,...,217.41,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,217.41,166.73,2.00
882,Samoa,...,...,...,...,102.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,102.20,...,0.61
674,San Marino,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,232.19,...,...,262.74,...,...,...,...,...,...,...,...,2010,262.74,...,8.42
678,Sao Tome and Principe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,109.75,...,...,...,...,...,...,2012,109.75,...,0.58
682,Saudi Arabia,"1,38,265.50",...,...,...,...,...,...,...,...,...,"2,56,720.00",...,...,...,...,...,...,...,...,...,"4,71,246.30",...,"4,98,852.80",...,...,...,...,...,...,2012,498852.80,260.79,17.11
686,Senegal,...,...,...,...,...,...,...,...,...,...,"6,788.93",...,...,...,...,"5,078.38",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,5078.38,...,0.46
688,Serbia,"62,969.97",...,...,...,...,...,...,...,"50,604.60",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1998,50604.60,-19.64,5.22
690,Seychelles,...,...,...,...,...,178.73,...,...,...,...,260.61,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,260.61,...,3.22
694,Sierra Leone,...,...,...,...,...,...,319.03,158.33,367.67,262.55,581.63,57.64,67.06,74.60,76.63,87.19,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,87.19,...,0.02
702,Singapore,...,...,...,...,"26,800.18",...,...,...,...,...,"37,755.81",...,...,...,...,...,...,...,...,...,"45,202.88",...,"46,777.40",...,...,...,...,...,...,2012,46777.40,...,8.71
703,Slovakia,"61,633.46","53,437.90","49,029.14","46,484.22","43,878.72","44,322.41","44,186.12","44,313.68","44,073.14","43,200.61","41,289.13","43,378.30","42,112.41","42,438.08","42,924.75","42,910.85","42,687.29","41,095.11","41,503.17","37,755.07","38,523.22","38,111.95","36,021.18","35,577.84","33,654.50","34,484.24","34,921.79","36,087.34","36,087.84",2018,36087.84,-41.45,6.62
705,Slovenia,"15,093.84","14,001.24","14,006.75","14,303.47","14,642.67","15,254.25","15,916.61","16,244.92","15,961.13","15,337.24","15,444.90","16,378.34","16,525.27","16,289.03","16,651.03","16,948.12","17,142.53","17,281.00","18,220.01","16,329.78","16,376.44","16,360.30","15,821.76","15,188.91","13,531.94","13,617.54","14,416.66","14,264.75","14,487.84",2018,14487.84,-4.01,6.97
90,Solomon Islands,...,...,...,...,294.38,...,...,...,...,...,191.24,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,191.24,...,0.46
710,South Africa,"2,80,931.77",...,...,...,"3,15,957.23",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,315957.23,12.47,7.79
728,South Sudan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,027.94","1,603.56","1,776.04","1,828.72",...,...,...,2015,1828.72,...,0.17
724,Spain,"2,31,213.56","2,40,953.02","2,49,813.19","2,41,195.18","2,53,661.39","2,67,416.72","2,54,795.33","2,67,306.44","2,76,021.58","2,99,498.67","3,11,267.05","3,13,119.84","3,33,379.52","3,37,588.93","3,54,485.58","3,69,492.12","3,60,578.60","3,68,432.70","3,36,624.21","2,97,241.18","2,83,724.99","2,84,543.85","2,78,850.69","2,52,763.82","2,55,100.21","2,71,687.35","2,60,759.56","2,74,671.26","2,69,654.25",2018,269654.25,16.63,5.78
144,Sri Lanka,...,...,...,"4,779.00","5,748.22","5,644.00",...,...,...,...,"10,922.42",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,10922.42,...,0.58
275,State of Palestine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,935.59",...,...,...,...,...,...,...,2011,1935.59,...,0.47
729,Sudan,...,...,...,...,...,"4,500.00",...,...,...,...,"6,183.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6183.00,...,0.23
740,Suriname,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,469.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,2469.00,...,5.06
752,Sweden,"57,348.82","57,707.22","57,451.49","57,493.45","59,953.81","59,366.21","63,302.78","58,212.55","58,696.67","55,820.16","54,684.43","55,617.06","56,572.52","57,160.57","56,475.92","53,852.86","53,674.27","52,940.90","50,856.00","47,231.12","53,042.22","49,166.90","46,692.01","45,086.34","43,337.56","43,336.76","42,972.57","42,306.82","41,766.18",2018,41766.18,-27.17,4.19
756,Switzerland,"44,154.42","46,133.82","46,009.70","43,601.02","42,675.89","43,412.83","44,098.82","43,037.27","44,614.82","44,445.84","43,617.59","45,082.45","43,467.60","44,651.91","45,236.40","45,788.23","45,373.68","43,368.37","44,714.31","43,534.72","45,049.55","40,985.52","42,254.72","43,185.84","39,234.43","38,733.19","39,192.61","38,182.27","36,895.48",2018,36895.48,-16.44,4.33
762,Tajikistan,"17,695.00","17,134.00","14,073.00","11,826.00","6,694.00","4,668.00","3,206.00","3,326.00","2,500.00","2,622.00","2,538.00","2,768.00","2,593.00","2,768.00","3,298.00","2,645.00","3,474.00","2,541.00","2,518.00","2,011.00","1,908.00",...,...,...,...,...,...,...,...,2010,1908.00,-89.22,0.25
764,Thailand,...,...,...,...,"1,41,453.20",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,42,022.61",...,...,...,...,...,2013,242022.61,...,3.55
626,Timor-Leste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,260.84,...,...,...,...,...,...,...,...,2010,260.84,...,0.24
768,Togo,...,...,825.50,546.90,"1,033.60","1,277.94","1,022.80","1,088.40","1,404.80",...,"1,461.90",...,...,...,...,"1,899.72",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,1899.72,...,0.34
776,Tonga,...,...,...,...,79.98,...,...,...,...,...,94.93,...,...,...,...,...,113.14,...,...,...,...,...,...,...,...,...,...,...,...,2006,113.14,...,1.11
780,Trinidad and Tobago,"14,987.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1990,14987.00,0.00,12.27
788,Tunisia,...,...,...,...,"17,096.50",...,...,...,...,...,"22,665.18",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,22665.18,...,2.33
792,Turkey,"1,51,508.47","1,57,982.00","1,63,922.25","1,71,011.16","1,67,433.11","1,80,903.05","1,99,521.94","2,12,005.57","2,12,040.28","2,07,804.16","2,29,790.60","2,13,486.09","2,20,977.70","2,36,483.89","2,44,464.11","2,64,200.80","2,81,649.18","3,12,736.71","3,09,321.19","3,15,359.64","3,14,380.03","3,39,482.25","3,53,666.21","3,45,220.58","3,61,675.46","3,81,331.94","4,01,239.74","4,25,329.23","4,19,194.75",2018,419194.75,176.68,5.09
795,Turkmenistan,...,...,...,...,"15,197.68",...,...,...,...,...,"24,683.20",...,...,...,"25,526.06",...,...,...,...,...,"37,325.17",...,...,...,...,...,...,...,...,2010,37325.17,...,7.34
798,Tuvalu,...,...,...,...,4.65,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11.16,...,...,...,...,2014,11.16,...,1.02
800,Uganda,...,...,...,...,730.25,...,...,...,...,...,"1,371.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1371.00,...,0.06
804,Ukraine,"7,05,829.99","6,32,536.63","5,89,060.25","5,10,199.54","4,19,266.30","3,89,864.61","3,51,408.75","3,40,242.69","3,28,578.94","2,98,203.96","2,85,337.20","3,03,559.23","2,95,673.49","3,07,017.47","3,10,362.75","3,13,118.09","3,32,670.34","3,36,364.01","3,25,532.71","2,77,293.50","2,94,078.32","3,07,952.84","3,03,952.61","2,97,294.25","2,57,584.69","2,23,911.87","2,34,200.30","2,23,232.15","2,31,694.16",2018,231694.16,-67.17,5.24
784,United Arab Emirates,...,...,...,...,"63,690.00",...,...,...,...,...,"1,02,707.00",...,...,...,...,"1,58,438.00",...,...,...,...,...,...,...,...,"1,88,884.90",...,...,...,...,2014,188884.90,...,20.50
826,United Kingdom of Great Britain and Northern Ireland,"6,01,187.19","6,09,266.00","5,93,745.97","5,79,506.69","5,75,774.60","5,67,507.65","5,89,137.82","5,63,241.84","5,68,512.20","5,61,651.09","5,68,220.06","5,76,926.99","5,61,047.85","5,72,532.25","5,73,994.49","5,70,724.27","5,68,390.05","5,60,205.60","5,45,682.47","4,95,119.49","5,12,864.79","4,70,608.13","4,88,503.55","4,78,608.95","4,39,763.28","4,23,199.62","3,99,824.30","3,88,803.41","3,80,849.88",2018,380849.88,-36.65,5.67
834,United Republic of Tanzania,"3,249.37",...,...,...,"3,225.53",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,3225.53,-0.73,0.11
840,United States of America,"51,28,300.62","50,78,889.58","51,82,706.72","52,83,437.60","53,77,032.71","54,38,905.70","56,26,911.90","57,03,706.97","57,51,051.98","58,30,297.64","59,98,070.43","59,00,436.60","59,42,652.33","59,91,959.63","61,07,618.25","61,31,892.98","60,51,051.02","61,28,429.64","59,30,539.64","54,91,035.73","56,98,055.78","55,65,294.40","53,67,568.56","55,14,029.29","55,61,719.22","54,12,432.19","52,92,267.56","52,53,606.13","54,24,881.50",2018,5424881.50,5.78,16.58
858,Uruguay,"3,897.33",...,...,...,"4,267.90",...,...,...,"5,910.87",...,"5,576.60",...,"4,355.27",...,"5,589.10",...,"6,442.84",...,"7,917.43",...,"6,548.90",...,"8,806.00",...,"6,824.50",...,"6,863.10","6,530.00",...,2017,6530.00,67.55,1.90
860,Uzbekistan,"1,13,286.32","1,13,301.74","1,06,305.61","1,06,809.00","1,01,370.90","1,01,021.05","1,04,012.36","1,02,265.90","99,999.06","1,04,052.94","1,08,606.83","1,07,876.50","1,11,020.33","1,06,841.01","1,04,822.79","1,00,863.85","1,03,617.94","1,03,446.05","1,13,156.40","1,07,567.39","1,01,762.96","1,05,089.37","1,05,529.24",...,...,...,...,...,...,2012,105529.24,-6.85,3.58
548,Vanuatu,...,...,...,...,55.15,...,...,...,...,...,69.59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,69.59,...,0.38
862,Venezuela (Bolivarian Republic of),...,...,...,...,...,...,...,...,...,"1,14,126.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1999,114126.00,...,4.81
704,Viet Nam,...,...,...,...,"25,382.82",...,...,...,...,...,"55,905.72",...,...,...,...,...,...,...,...,...,"1,46,036.77",...,...,"1,56,969.31",...,...,...,...,...,2013,156969.31,...,1.73
887,Yemen,...,...,...,...,...,"10,514.96",...,...,...,...,"17,548.00",...,...,...,...,...,...,...,...,...,"22,341.00",...,"23,311.94",...,...,...,...,...,...,2012,23311.94,...,0.95
894,Zambia,...,...,...,...,"2,595.35",...,...,...,...,...,"1,685.89",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1685.89,...,0.16
716,Zimbabwe,...,...,...,...,"17,088.48",...,...,...,...,...,"24,869.08",...,...,...,...,...,"10,995.15",...,...,...,...,...,...,...,...,...,...,...,...,2006,10995.15,...,0.90
