구분,조사내용1
전 생애 한국여행 경험,19.4%
향후 3년 내(~2024년) 한국여행 의향,47.0%
향후 3년 내(~2024년) 한국방문 예상시기,2024년(35.7%)<br>2022년(32.0%)<br>2023년(28.9%)<br>2021년 7~12월(3.4%)
