"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2022-08-01,28.6,32.4,14:20,25.4,0:04,7
"		108",서울,2022-08-02,26.8,28.5,0:01,25.5,22:57,3
"		108",서울,2022-08-03,27.1,30,16:00,25.2,4:57,4.8
"		108",서울,2022-08-04,28.9,32.9,15:32,26,5:49,6.9
"		108",서울,2022-08-05,29.4,32.7,14:30,27,1:11,5.7
"		108",서울,2022-08-06,28.7,30.3,17:18,27.4,4:54,2.9
"		108",서울,2022-08-07,28.9,31.7,14:21,27.2,3:54,4.5
"		108",서울,2022-08-08,26.8,28.4,0:01,,,
"		108",서울,2022-08-09,25.1,26.5,15:38,22,23:54,4.5
"		108",서울,2022-08-10,24.7,28.8,15:03,21.4,4:55,7.4
"		108",서울,2022-08-11,25,27.5,15:02,23.4,5:28,4.1
"		108",서울,2022-08-12,27,32.4,15:57,23,6:14,9.4
"		108",서울,2022-08-13,25.8,27.5,17:43,24.7,13:05,2.8
"		108",서울,2022-08-14,27.6,31.5,14:14,24.5,5:53,7
"		108",서울,2022-08-15,28.1,29.8,12:33,26.6,23:57,3.2
"		108",서울,2022-08-16,26.7,30,15:31,24.1,6:52,5.9
"		108",서울,2022-08-17,26,30.5,13:38,22.8,6:18,7.7
"		108",서울,2022-08-18,25.6,29.8,14:08,22.4,5:56,7.4
"		108",서울,2022-08-19,26,27.5,15:27,23.3,3:55,4.2
"		108",서울,2022-08-20,28.2,32,14:37,25.7,6:28,6.3
"		108",서울,2022-08-21,28.1,32,15:49,24.7,6:34,7.3
"		108",서울,2022-08-22,26.8,30.2,13:56,22.9,23:02,7.3
"		108",서울,2022-08-23,25.4,30.2,15:33,22.4,5:13,7.8
"		108",서울,2022-08-24,24.8,27.9,11:45,22.4,5:00,5.5
"		108",서울,2022-08-25,22.2,24,10:54,21.1,23:22,2.9
"		108",서울,2022-08-26,23.8,28.4,15:12,19.9,6:26,8.5
"		108",서울,2022-08-27,21.5,25.5,15:41,17.6,6:38,7.9
"		108",서울,2022-08-28,22.6,28.4,16:44,16.1,5:38,12.3
"		108",서울,2022-08-29,21,22.5,0:01,19.5,9:40,3
"		108",서울,2022-08-30,19.1,20.3,0:01,17.9,5:27,2.4
"		108",서울,2022-08-31,21.7,24.9,17:03,19.6,0:32,5.3
"		",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"		",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
